id,bod,datum,votes_pro,votes_proti,votes_zdrzel,votes_nehlasoval,prihlaseno,vysledek,nazev
52361,3,1277157600,192,0,3,0,195,A,Inf.%20o%20ustaven%ED%20volebn%ED%20komise%20PS%20a%20volb%u011B%20%u010Dlen%u016F
52362,4,1277157600,191,0,4,1,196,A,N%E1v.na%20stanoven%ED%20po%u010Dtu%20%u010Dl.%20MIV
52363,6,1277330400,192,0,5,0,197,A,N%E1vrh%20na%20ustaven%ED%20MIV
52364,8,1277330400,159,0,26,0,185,A,Inf.%20MIV%20o%20ov%u011B%u0159en%ED%20platnosti%20volby%20poslanc%u016F
52365,10,1277330400,118,21,53,8,200,A,N%E1vrh%20na%20stanoven%ED%20po%u010Dtu%20m%EDstop%u0159edsed%u016F%20PS
52366,10,1277330400,54,16,119,10,199,R,N%E1vrh%20na%20stanoven%ED%20po%u010Dtu%20m%EDstop%u0159edsed%u016F%20PS
52367,10,1277330400,46,14,126,13,199,R,N%E1vrh%20na%20stanoven%ED%20po%u010Dtu%20m%EDstop%u0159edsed%u016F%20PS
52368,10,1277330400,120,45,13,22,200,A,N%E1vrh%20na%20stanoven%ED%20po%u010Dtu%20m%EDstop%u0159edsed%u016F%20PS
52369,12,1277330400,184,0,13,0,197,A,N%E1vrh%20na%20stanoven%ED%20po%u010Dtu%20ov%u011B%u0159ovatel%u016F%20PS
52370,13,1277330400,190,0,8,0,198,A,N%E1vrh%20na%20nominaci%20ov%u011B%u0159ovatel%u016F%20PS
52371,0,1277330400,190,0,9,0,199,A,%20
52372,14,1277330400,168,1,18,11,198,A,N%E1vrh%20na%20z%u0159%EDzen%ED%20v%FDbor%u016F%20PS
52373,15,1277330400,147,11,33,7,198,A,N%E1vrh%20na%20stanoven%ED%20po%u010Dtu%20%u010Dlen%u016F%20v%FDbor%u016F%20PS
52374,15,1277330400,40,20,124,13,197,R,N%E1vrh%20na%20stanoven%ED%20po%u010Dtu%20%u010Dlen%u016F%20v%FDbor%u016F%20PS
52375,15,1277330400,164,7,24,3,198,A,N%E1vrh%20na%20stanoven%ED%20po%u010Dtu%20%u010Dlen%u016F%20v%FDbor%u016F%20PS
52376,15,1277330400,183,1,13,1,198,A,N%E1vrh%20na%20stanoven%ED%20po%u010Dtu%20%u010Dlen%u016F%20v%FDbor%u016F%20PS
52377,17,1277330400,186,1,8,2,197,A,N%E1vrh%20term%EDnu%202.%20sch%u016Fze%20PS
52378,0,1278453600,159,0,10,0,169,A,%20
52379,0,1278453600,179,0,3,0,182,A,Po%u0159ad%20sch%u016Fze
52380,0,1278453600,183,0,3,0,186,A,Po%u0159ad%20sch%u016Fze
52381,1,1278453600,182,1,2,1,186,A,N%E1v.%20zasedac%EDho%20po%u0159%E1dku%20poslanc%u016F%20v%20jedn.%20s%E1le%20PS
52382,2,1278453600,181,0,9,0,190,A,N%E1v.%20na%20ustaven%ED%20v%FDbor%u016F%20PS
52383,2,1278453600,184,0,6,0,190,A,N%E1v.%20na%20ustaven%ED%20v%FDbor%u016F%20PS
52384,2,1278453600,186,1,5,0,192,A,N%E1v.%20na%20ustaven%ED%20v%FDbor%u016F%20PS
52385,2,1278453600,186,1,5,1,193,A,N%E1v.%20na%20ustaven%ED%20v%FDbor%u016F%20PS
52386,2,1278453600,187,1,4,1,193,A,N%E1v.%20na%20ustaven%ED%20v%FDbor%u016F%20PS
