id,titul_pred,prijmeni,jmeno,titul_za,poslanec_2010,preferencni,novacek,interpelace_source_count,interpelace_target_count,zakony_predkladatel_count,absence_count,nazor_count,possible_votes_count,vystoupeni_count,strana_id,kraj_id,from_date,to_date,activity_index
1,Ing.,Bachna,Petr, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
2,Ing.,Bečvář,Ivan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
3, ,Bejček,Josef, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
4, ,Benda,Marek, ,1,1,0,0,0,8,642,2975,4434,198,1,2,1275084000,0,144
5,Ing.,Bělehrádek,Stanislav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
6,JUDr.,Bílý,Jiří, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
7, ,Blažek,Ladislav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
8, ,Bláha,Jan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
9, ,Body,Ladislav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
10,Ing.,Brodský,Petr, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
11,Ing.,Broulík,Jaroslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
12,Ing.,Brožík,František, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
13,Ing.,Budinský,Vladimír, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
14,Mgr.,Bumbová,Stanislava, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
15,MUDr.,Bureš,Eduard, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
16,JUDr.,Buzková,Petra, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
17,JUDr.,Čapek,Miroslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
18,Ing.,Čechák,Vojtěch, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
19,PaedDr.,Čelišová,Květoslava, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
20,MUDr.,Čerbák,Miroslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
21,MUDr.,Čermák,Petr,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
22,MVDr.,Černý,Jan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
23,Ing.,Červinka,Josef, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
24, ,Čundrle,Václav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
25,Ing.,Decker,Jan,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
26,Ing.,Dobal,Viktor, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
27,MUDr.,Dostál,Robert,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
28,Ing.,Doubrava,Vlastimil, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
29,Ing.,Drápela,Jiří, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
30,Ing.,Effenberger,Josef, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
31,RNDr.,Exner,Václav,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
32,Ing.,Faifr,Jiří, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
33, ,Fejfar,Ota, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
34, ,Fejfar,Tomáš, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
35, ,Fischerová,Eva, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
36, ,Frank,Václav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
37, ,Frommer,Alfred, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
38,PhDr.,Gjurič,Andrej, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
39,JUDr.,Gross,Stanislav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
40,PhDr.,Grulich,Václav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
41, ,Haringer,Jiří, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
42,Ing.,Hába,René, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
43,JUDr.,Hájek,Jiří, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
44,Ing.,Hájek,Josef, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
45,Dr. Ing.,Hirš,Pavel,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
46,RNDr.,Hofhanzl,Čestmír, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
47,Ing.,Holub,Josef, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
48,Mgr.,Honajzer,Jiří, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
49,JUDr.,Hrazdíra,Antonín, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
50,Ing.,Hrdý,Karel, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
51,PhDr.,Hubová,Marta, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
52,Doc. Ing.,Hurta,Josef,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
53, ,Chudoba,Martin, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
54,MUDr.,Janeček,Josef, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
55,MUDr.,Jaroš,Emil, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
56,JUDr. Ing.,Jegla,Jan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
57,RNDr.,Ježek,Josef, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
58,Ing.,Ježek,Tomáš,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
59,JUDr.,Kačenka,František, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
60,MUDr.,Kadlecová,Milada, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
61,PhDr.,Kalus,Jaromír, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
62,JUDr.,Kalvoda,Jan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
63,JUDr. Ing.,Karas,Jiří, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
64,Ing.,Kasal,Jan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
