id,losovani_id,poslanec_id,ministr_id,vec
1142,61,180,62,ve věci soudců                                              
1160,61,180,62,ve věci soudů                                               
1161,61,180,276,ve věci zabezpečení voleb                                   
1162,61,180,276,ve věci voleb                                               
1163,61,331,299,ve věci zemědělství                                         
1164,61,331,299,ve věci zemědělství                                         
1165,61,328,299,ve věci zemědělska                                          
1166,61,328,299,ve věci zemědělství                                         
1167,62,327,263,ve věci nespecifikované                                     
1168,62,326,263,ve věci nespecifikované                                     
1169,62,329,263,ve věci lehkých topných olejů                               
1170,62,319,263,ve věci bytové situace                                      
1171,62,321,263,ve věci nepokojů 24.6.96                                    
1172,62,327,263,ve věci bydlení                                             
1173,62,115,263,ve věci vládního prohlášení                                 
1174,62,322,263,ve věci nespecifikované                                     
1175,62,320,263,ve věci nespecifikované                                     
1176,62,93,263,ve věci česko-německých jednání                             
1177,61,321,272,ve věci výuky cizích jazyků                                 
1178,61,321,281,ve věci nespecifikované                                     
1179,61,326,276,ve věci nespecifikované I                                   
1180,61,326,62,ve věci nespecifikované I                                   
1181,61,93,288,ve věci nespecifikované                                     
1182,61,93,276,ve věci nespecifikované                                     
1183,61,327,437,ve věci nespecifikované                                     
1184,61,322,276,ve věci nespecifikované                                     
1185,61,327,152,ve věci nemocnice                                           
1186,61,319,276,ve věci bezpečnostní situace                                
1187,61,115,284,ve věci sudetoněmecké otázky                                
1188,61,321,281,ve věci nespecifikované                                     
1189,61,329,437,ve věci nespecifikované                                     
1190,61,330,264,ve věci ztrátových pohledávek                               
1191,61,330,264,ve věci nespecifikované                                     
1192,61,320,62,ve věci nespecifikované                                     
1193,61,320,62,ve věci nespecifikované II                                  
1194,61,312,264,ve věci pohledávek českého státu                            
1195,61,162,281,ve věci valorizace důchodů 96                               
1196,62,319,263,ve věci vandalismu v ulicích Prahy                          
1197,62,319,263,ve věci bytové otázky                                       
1198,62,329,263,ve věci lehkých topných olejů                               
1199,62,329,263,ve věci zvýšení nájemného bytů ČR                           
1200,62,329,263,ve věci městské policie                                     
1201,62,329,263,ve věci SPT TELECOM                                         
1202,61,319,264,ve věci přidělování 500 DM uprchlíkům z Bosny               
1203,61,319,193,ve věci služby v cizí armádě                                
1204,61,319,264,ve věci inflace                                             
1205,61,319,276,ve věci bezpečnosti v ČR                                    
1206,61,327,437,ve věci železniční nemocnice                                
1207,61,329,294,ve věci živ.prostředí na okr.Prostějov                      
1208,61,329,437,ve věci údržby státních silnic                              
1209,63,243,288,ve věci situace v českých zbrojovkách                       
1210,64,320,263,ve věci česko-německé deklarace                             
1211,64,320,263,ve věci volebního zákona                                    
1212,63,320,62,nespecifikováno 1                                           
1213,63,320,62,nespecifikováno 2                                           
1214,63,320,299,nespecifikováno 1                                           
1215,63,320,299,nespecifikováno 2                                           
1216,63,320,193,nespecifikováno 1                                           
1217,63,320,193,nespecifikováno 2                                           
1218,63,320,276,nespecifikováno 1                                           
1219,63,320,276,nespecifikováno 2                                           
1220,63,320,272,nespecifikováno 1                                           
1221,63,320,272,nespecifikováno 2                                           
1222,63,320,272,nespecifikováno 3                                           
1223,63,320,152,nespecifikováno 1                                           
1224,63,320,152,nespecifikováno 2                                           
1225,64,115,263,ve věci státního rozpočtu a důchodů                         
1226,64,93,263,ve věci situace v zemědělství                               
1227,64,93,263,ve věci causy WALLIS                                        
1228,64,93,263,ve věci výskytu štvavých letáků na Domažlicku               
1229,64,93,263,ve věci zahraniční kritiky zákona o občanství               
1230,64,93,263,ve věci proexportní politiky                                
1231,64,93,263,ve věci utajené návštěvy šéfa ruské špionáže v Praze        
1232,64,93,263,ve věci ochrany proti drogám                                
1233,64,93,263,ve věci návštěvy USA                                        
1234,64,93,263,ve věci povinné účasti policistů na mítinku předsedy vlády Č
1235,64,93,263,ve věci neposkytnutí finančního grantu OKO                  
1236,64,93,263,ve věci zdražování jízdného v žel. dopravě                  
1237,64,93,263,ve věci podpory vývozu                                      
1238,64,93,263,ve věci prezentace ČR                                       
1239,64,93,263,ve věci výstavby dálnic                                     
1240,64,93,263,ve věci průběhu česko-němckého jednání                      
1241,64,93,263,ve věci česko-německé deklarace                             
1242,63,115,193,ve věci vojenských uniforem                                 
1243,63,115,193,ve věci vojenské šikany                                     
1244,63,115,288,ve věci salmonely v potravinách                             
1245,63,115,284,ve věci česko-německé deklarace                             
1246,63,115,264,ve věci Agrobanky                                           
1247,63,115,299,ve věci rozpočtu MZe                                        
1248,63,115,62,ve věci státních zastupitelstev                             
1249,63,115,284,ve věci sudetoněmecké otázky                                
1250,63,115,152,ve věci zdrav. pojišťovny                                   
1251,63,115,294,ve věci metanu v ostravských bytech                         
1252,63,115,288,ve věci TOS Kuřim                                           
1253,63,115,288,ve věci české rafinérské                                    
1254,63,115,264,ve věci Kreditní banky a certifikátů                        
1255,63,115,284,ve věci odškodnění Němců                                    
1256,63,93,294,ve věci neposkytnutí finančního grantu OKD                  
1257,63,93,193,ve věci účasti AČR v nové misi pro IFOR v Bosně             
1258,63,93,193,ve věci havárie letounu MIG-21                              
1259,63,93,264,ve věci situace v českém bankovním sektoru                  
1260,64,213,263,ve věci postoje vlády k rozš. dovozu použ. druhořad.výr.zahr
1261,64,319,263,nespecifikované                                             
1262,64,319,263,nespecifikované                                             
1263,64,319,263,nespecifikované                                             
1264,64,319,263,nespecifikované                                             
1265,64,319,263,nespecifikované                                             
1266,64,319,263,nespecifikované                                             
1267,64,319,263,nespecifikované                                             
1268,64,319,263,nespecifikované                                             
1269,64,319,263,nespecifikované                                             
1270,64,319,263,nespecifikované                                             
1271,64,319,263,nespecifikované                                             
1272,64,319,263,nespecifikované                                             
1273,64,319,263,nespecifikované                                             
1274,64,319,263,nespecifikované                                             
1275,64,319,263,nespecifikované                                             
1276,64,319,263,nespecifikované                                             
1277,64,319,263,nespecifikované                                             
