poslanec_hlas_id,poslanec_id
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
100,100
101,101
102,102
103,103
104,104
105,105
106,106
107,107
108,108
109,109
110,110
111,111
112,112
113,113
114,114
115,115
116,116
117,117
118,118
119,119
120,120
121,121
122,122
123,123
124,124
125,125
126,126
127,127
128,128
129,129
130,130
131,131
132,132
133,133
134,134
135,135
136,136
137,137
138,138
139,139
140,140
141,141
142,142
143,143
144,144
145,145
146,146
147,147
148,148
149,149
150,150
151,151
152,152
153,153
154,154
155,155
156,156
157,157
158,158
159,159
160,160
161,161
162,162
163,163
164,164
165,165
166,166
167,167
168,168
169,169
170,170
171,171
172,172
173,173
174,174
175,175
176,176
177,177
178,178
179,179
180,180
181,181
182,182
183,183
184,184
185,185
186,186
187,187
188,188
189,189
190,190
191,191
192,192
193,193
194,194
195,195
196,196
197,197
198,198
199,199
200,200
201,201
202,202
205,205
206,206
207,207
208,8
209,12
210,16
211,203
212,204
213,208
214,209
215,210
216,211
217,35
218,212
219,213
220,39
221,40
222,214
223,215
224,216
225,217
226,218
227,219
228,220
229,221
230,222
231,77
232,223
233,224
234,225
235,226
236,227
237,228
238,229
239,230
240,231
241,122
242,124
243,232
244,233
245,234
246,235
247,236
248,237
249,238
250,239
251,240
252,241
253,242
254,243
255,244
256,245
257,246
258,247
259,248
260,249
261,250
262,194
263,251
264,252
265,196
266,253
267,254
268,255
269,256
270,257
271,4
272,258
273,13
274,15
275,21
276,22
277,259
278,260
279,47
280,48
281,261
282,262
283,61
284,67
285,263
286,264
287,69
288,71
289,72
290,74
291,79
292,265
293,266
294,91
295,100
296,107
297,110
298,111
299,267
300,116
301,118
302,268
303,269
304,127
305,128
306,270
307,129
308,271
309,131
310,272
311,273
312,274
313,275
314,134
315,139
316,276
317,277
318,152
319,278
320,164
321,170
322,279
323,171
324,172
325,280
326,181
327,281
328,282
329,185
330,190
331,283
332,197
333,284
334,198
335,285
336,286
337,287
338,288
339,46
340,62
341,289
342,290
343,291
344,89
345,102
346,292
347,293
348,294
349,295
350,5
351,296
352,297
353,54
354,298
355,63
356,64
357,94
358,299
359,95
360,300
361,143
362,156
363,301
364,302
365,165
366,193
367,19
368,31
369,303
370,36
371,304
372,305
373,306
374,307
375,308
376,309
377,99
378,310
379,105
380,311
381,136
382,312
383,313
384,314
385,315
386,162
387,316
388,317
389,318
390,319
391,320
392,93
393,321
394,322
395,115
396,323
397,324
398,325
399,326
400,327
401,328
402,180
403,329
404,330
405,331
406,332
407,333
408,334
409,87
410,335
411,336
412,76
413,337
414,338
415,339
416,340
417,341
418,38
419,342
420,343
421,295
422,344
423,345
424,207
425,4
426,346
427,347
428,348
429,8
430,349
431,350
432,12
433,351
434,206
435,352
436,16
437,353
438,203
439,19
440,354
441,208
442,355
443,356
444,357
445,209
446,358
447,359
448,360
449,210
450,211
451,31
452,303
453,361
454,35
455,36
456,304
457,305
458,362
459,213
460,39
461,40
462,363
463,333
464,364
465,365
466,214
467,366
468,215
469,297
470,367
471,368
472,261
473,369
474,306
475,370
476,371
477,217
478,372
479,373
480,54
481,374
482,375
483,218
484,307
485,376
486,377
487,219
488,63
489,64
490,335
491,308
492,67
493,263
494,378
495,69
496,379
497,220
498,380
499,381
500,222
501,382
502,309
503,383
504,79
505,384
506,77
507,385
508,386
509,387
510,388
511,389
512,224
513,225
514,390
515,391
516,266
517,226
518,392
519,91
520,299
521,393
522,227
523,394
524,229
525,99
526,395
527,396
528,310
529,397
530,105
531,107
532,398
533,399
534,110
535,111
536,400
537,401
538,402
539,403
540,404
541,122
542,405
543,124
544,269
545,406
546,340
547,407
548,408
549,127
550,409
551,270
552,129
553,410
554,411
555,272
556,273
557,275
558,232
559,311
560,136
561,412
562,312
563,233
